,equity
2023-01-13,460.81118788345964
2023-01-14,465.73758766008854
2023-01-15,465.1957715431454
2023-01-16,467.2629251678373
2023-01-17,466.8746574385922
2023-01-18,463.82465884771
2023-01-19,466.9621118392736
2023-01-20,485.93338425294047
2023-01-21,484.49414699483356
2023-01-22,485.3150608075001
2023-01-23,487.8713269694496
2023-01-24,479.78264361908157
2023-01-25,488.52270207481024
2023-01-26,486.31485652605807
2023-01-27,494.3401751410429
2023-01-28,492.3321418281798
2023-01-29,502.92704266171984
2023-01-30,490.1059607995222
2023-01-31,496.86310607288726
2023-02-01,509.9732090676831
2023-02-02,505.87247729684594
2023-02-03,510.9259458515138
2023-02-04,508.1676195043008
2023-02-05,500.93400282088976
2023-02-06,495.26510575641896
2023-02-07,508.5188780783013
2023-02-08,503.5440338914281
2023-02-09,477.96131426669064
2023-02-10,477.6784002094191
2023-02-11,480.2197362035295
2023-02-12,477.8346504356728
2023-02-13,475.68610699443815
2023-02-14,481.8957946242183
2023-02-15,505.4153921817957
2023-02-16,491.627995631855
2023-02-17,507.26446225286367
2023-02-18,507.52772756073375
2023-02-19,505.06166947502265
2023-02-20,511.54171268805595
2023-02-21,504.8244161008686
2023-02-22,501.2580982982439
2023-02-23,498.32630804576917
2023-02-24,485.06297821738264
2023-02-25,483.8802618631005
2023-02-26,488.97393397115883
2023-02-27,486.11837033047243
2023-02-28,480.84448108557774
2023-03-01,486.52572636782344
2023-03-02,483.7975206737101
2023-03-03,474.32943026525095
2023-03-04,474.71288793357013
2023-03-05,474.9548190005421
2023-03-06,472.821258953278
2023-03-07,473.4291263376464
2023-03-08,475.68420266994764
2023-03-09,478.6054392054802
2023-03-10,477.9180888261311
2023-03-11,478.1902942006642
2023-03-12,474.5083347407213
2023-03-13,472.7179826244935
2023-03-14,470.9106581745709
2023-03-15,472.42188714855297
2023-03-16,469.07657548147125
2023-03-17,463.93527965557615
2023-03-18,465.22167955036554
2023-03-19,463.0902883604461
2023-03-20,464.26209516115944
2023-03-21,461.06757193123605
2023-03-22,460.9705035328736
2023-03-23,458.86612920261587
2023-03-24,461.03843618050763
2023-03-25,461.07628129954395
2023-03-26,460.3059586302575
2023-03-27,461.04611153909855
2023-03-28,458.13948659471646
2023-03-29,457.5956556531223
2023-03-30,457.5177394273812
2023-03-31,457.28237793498795
2023-04-01,455.919814554025
2023-04-02,454.45717159571365
2023-04-03,453.10726464799916
2023-04-04,453.82358492528846
2023-04-05,453.98156638966503
2023-04-06,453.62056196572576
2023-04-07,453.20841671917253
2023-04-08,452.9323092722423
2023-04-09,453.7662244927587
2023-04-10,457.32151098626343
2023-04-11,458.3883283191046
2023-04-12,455.9595266653995
2023-04-13,458.7079495526292
2023-04-14,460.4855350528253
2023-04-15,460.5870734322641
2023-04-16,465.51675412950505
2023-04-17,462.83202595443834
2023-04-18,469.80462994335994
2023-04-19,450.08512595947315
2023-04-20,445.9974173605868
2023-04-21,438.7983561660913
2023-04-22,439.1402290329328
2023-04-23,439.7259580865937
2023-04-24,438.9458569882802
2023-04-25,436.35190776987315
2023-04-26,431.9206698327702
2023-04-27,432.01816617830667
2023-04-28,432.03962033219517
2023-04-29,431.2647190636793
2023-04-30,433.79028901238433
2023-05-01,434.73482435682206
2023-05-02,434.37612632487713
2023-05-03,433.05666429695674
2023-05-04,435.0402305195789
2023-05-05,432.6284052809965
2023-05-06,438.8010513337058
2023-05-07,438.0751327886579
2023-05-08,445.2017782169772
2023-05-09,445.19601045964646
2023-05-10,440.9601211683144
2023-05-11,443.5313864337876
2023-05-12,442.29649805063383
2023-05-13,443.8629238074719
2023-05-14,442.30033783405844
2023-05-15,441.843876034723
2023-05-16,440.82660012848226
2023-05-17,436.7289782522162
2023-05-18,440.39533803554724
2023-05-19,440.93381773804265
2023-05-20,440.6279467905365
2023-05-21,443.62843667736473
2023-05-22,441.65346743694545
2023-05-23,440.5271609928422
2023-05-24,443.33008186477343
2023-05-25,442.9204499945643
2023-05-26,441.85786613836865
2023-05-27,440.052656811893
2023-05-28,436.0295672655118
2023-05-29,437.515267851803
2023-05-30,438.3824840176162
2023-05-31,440.2359457226817
2023-06-01,444.14533851196273
2023-06-02,441.2030761057731
2023-06-03,441.0914778647114
2023-06-04,439.8502981997329
2023-06-05,446.32338369604963
2023-06-06,438.87704144617834
2023-06-07,446.38938893387075
2023-06-08,445.96555199039534
2023-06-09,446.8198677432188
2023-06-10,460.81787466430336
2023-06-11,460.1698150452716
2023-06-12,459.3547226595938
2023-06-13,458.3304438474413
2023-06-14,462.1723656809197
2023-06-15,461.47160445719317
2023-06-16,458.71470239991845
2023-06-17,457.05810584483936
2023-06-18,458.9726735341311
2023-06-19,457.44779101196735
2023-06-20,452.82768029525306
2023-06-21,448.67377106080704
2023-06-22,449.1835476150143
2023-06-23,444.31030634059283
2023-06-24,445.7266026189793
2023-06-25,443.20245620870213
2023-06-26,445.9913628426266
2023-06-27,444.73270868230486
2023-06-28,448.6416398741021
2023-06-29,447.4845785673083
2023-06-30,443.23884014640385
2023-07-01,442.9281303538659
2023-07-02,443.7922135703362
2023-07-03,441.88787962805424
2023-07-04,442.5664982178978
2023-07-05,442.7210749516663
2023-07-06,438.9182500810081
2023-07-07,439.01025837755054
2023-07-08,437.3321875851772
2023-07-09,436.00106815200945
2023-07-10,436.0875118878187
2023-07-11,436.7562872133761
2023-07-12,435.91091329391804
2023-07-13,438.8390295681473
2023-07-14,431.1781354615964
2023-07-15,430.73408266843325
2023-07-16,428.66824002965996
2023-07-17,428.6183334433985
2023-07-18,427.76279196463105
2023-07-19,427.8170270985349
2023-07-20,426.4187921880273
2023-07-21,427.0553802361802
2023-07-22,423.4346210719623
2023-07-23,424.29550842915796
2023-07-24,420.22029293880746
2023-07-25,420.0834235281755
2023-07-26,419.64774131206104
2023-07-27,420.5989485412505
2023-07-28,419.2909054041706
2023-07-29,418.43714014912274
2023-07-30,417.52972657065715
2023-07-31,418.5136033177733
2023-08-01,415.33284951135107
2023-08-02,419.1285364673239
2023-08-03,422.5527261016074
2023-08-04,423.2174066814243
2023-08-05,422.73718318731864
2023-08-06,421.7434996389952
