,equity
2023-10-06,424.63337198695496
2023-10-07,423.40142183584175
2023-10-08,424.1234240984833
2023-10-09,424.44438646802917
2023-10-10,424.90791458748447
2023-10-11,426.1601871514135
2023-10-12,428.15126567274535
2023-10-13,427.5584060749665
2023-10-14,427.0104088647342
2023-10-15,426.0808756216008
2023-10-16,425.91441286995615
2023-10-17,427.234199133191
2023-10-18,428.02149311553353
2023-10-19,426.7593105416059
2023-10-20,428.11608234219307
2023-10-21,435.13565494737355
2023-10-22,438.2520616598152
2023-10-23,452.38874914072943
2023-10-24,450.49277073536433
2023-10-25,456.05355295196296
2023-10-26,457.43740338195545
2023-10-27,456.08696180706147
2023-10-28,455.17855378232036
2023-10-29,459.5723841674315
2023-10-30,466.1298800789985
2023-10-31,470.8215039294375
2023-11-01,479.6161779880518
2023-11-02,477.79477092668026
2023-11-03,480.66837008162327
2023-11-04,486.7780648085148
2023-11-05,496.40324228884333
2023-11-06,510.9334350340653
2023-11-07,505.5599358960466
2023-11-08,514.4844245962529
2023-11-09,524.0212758438222
2023-11-10,542.6155735706958
2023-11-11,545.47811563257
2023-11-12,542.2294072423404
2023-11-13,524.9717593248013
2023-11-14,524.8719843099677
2023-11-15,549.384548859324
2023-11-16,526.2237794478701
2023-11-17,526.2482802643209
2023-11-18,528.2048683319193
2023-11-19,539.8719013857533
2023-11-20,532.7413259830796
2023-11-21,506.8147085392567
2023-11-22,527.725015733307
2023-11-23,529.1213452412895
2023-11-24,530.1372270917134
2023-11-25,535.2345811089898
2023-11-26,531.3824591670925
2023-11-27,521.9819333469312
2023-11-28,529.3548133959614
2023-11-29,529.6637498098261
2023-11-30,528.6346095435522
2023-12-01,534.2976403167131
2023-12-02,548.2219365323208
2023-12-03,546.9358719300856
2023-12-04,548.5246778802332
2023-12-05,551.9394546859805
2023-12-06,553.8729754828626
2023-12-07,568.8198973219048
2023-12-08,600.5438312254355
2023-12-09,598.7922741669929
2023-12-10,606.2887584431953
2023-12-11,579.7233793701707
2023-12-12,582.1885531510633
2023-12-13,603.2662951662029
