,equity
2023-05-21,397.4872341421468
2023-05-22,395.35204521139445
2023-05-23,392.5712772497476
2023-05-24,398.84958471339127
2023-05-25,399.54703416702364
2023-05-26,397.094328272217
2023-05-27,394.31514124445954
2023-05-28,388.82015836173093
2023-05-29,390.6998080456481
2023-05-30,393.40188650853275
2023-05-31,393.4940859389759
2023-06-01,394.4288489729644
2023-06-02,395.18525349324165
2023-06-03,394.6914720301194
2023-06-04,395.7638164403964
2023-06-05,399.4158151551416
2023-06-06,398.768598409918
2023-06-07,407.7728920492818
2023-06-08,406.95254859000255
2023-06-09,413.49882665046454
2023-06-10,422.87766620288266
2023-06-11,425.41622261799796
2023-06-12,427.12082372923356
2023-06-13,423.9937738667744
2023-06-14,424.67243436232184
2023-06-15,423.8691782776631
2023-06-16,420.97162989006006
2023-06-17,419.16047955570747
2023-06-18,420.9074708005954
2023-06-19,419.4469447093097
2023-06-20,414.95050468226566
2023-06-21,410.9486188129756
2023-06-22,412.95953789508053
2023-06-23,408.1581389773602
2023-06-24,410.32885364469763
2023-06-25,409.5806625323215
2023-06-26,411.8166441570028
2023-06-27,409.95269685005564
2023-06-28,415.2960476343829
2023-06-29,408.83424249944267
2023-06-30,405.14345263465447
2023-07-01,403.6195120273842
2023-07-02,401.90462811779247
2023-07-03,401.49474203699066
2023-07-04,402.91354566327715
2023-07-05,405.22011392669236
2023-07-06,403.8202903228129
2023-07-07,402.31347842633596
2023-07-08,401.88157419337233
2023-07-09,402.42420250640714
2023-07-10,398.2734493865304
2023-07-11,398.61546157134796
2023-07-12,399.9789291709863
2023-07-13,402.93784859704573
2023-07-14,403.3074643536856
2023-07-15,403.3348938336142
2023-07-16,402.8119462873824
2023-07-17,404.66790168060777
2023-07-18,401.91211235633114
2023-07-19,402.65023736044816
2023-07-20,408.8022708040693
2023-07-21,407.24936981867603
2023-07-22,403.7045170470395
2023-07-23,404.2940600666436
2023-07-24,399.2939448402814
2023-07-25,398.288349898822
2023-07-26,401.83215806321124
2023-07-27,402.8665418677419
2023-07-28,400.97062797211856
2023-07-29,401.8025093962716
2023-07-30,399.95813504323405
2023-07-31,398.8886517298354
2023-08-01,397.06226375182956
2023-08-02,395.37696021866293
2023-08-03,393.96055359946496
2023-08-04,394.1410867674784
2023-08-05,393.933434046505
2023-08-06,394.23817808562677
2023-08-07,395.8146560995865
2023-08-08,395.6887861633395
2023-08-09,396.9302056278525
2023-08-10,397.7902680117486
2023-08-11,397.8760020959834
2023-08-12,398.1725867730362
2023-08-13,397.6183642052287
2023-08-14,398.29519035713173
2023-08-15,397.81755591109606
2023-08-16,398.17929670615
2023-08-17,405.61023894653187
2023-08-18,405.50202097494565
2023-08-19,403.38196393316167
2023-08-20,402.1703443852462
2023-08-21,405.8210800112025
2023-08-22,407.9978677650935
2023-08-23,402.9613559781287
2023-08-24,404.5578327126594
2023-08-25,405.79883874756456
2023-08-26,406.6569641250667
2023-08-27,405.1255191213244
2023-08-28,404.9932519384436
2023-08-29,398.69482958482905
2023-08-30,403.1570628423418
2023-08-31,409.4683542534794
2023-09-01,411.19400442811644
2023-09-02,410.31791791834314
2023-09-03,409.75433607280974
2023-09-04,409.6811846183389
2023-09-05,408.1857165223998
2023-09-06,407.9507229894077
2023-09-07,406.77856354063607
2023-09-08,408.29399923527785
2023-09-09,408.76269683022605
2023-09-10,412.33308899851744
2023-09-11,418.86317676360113
2023-09-12,415.12968606769334
2023-09-13,412.98082969400275
2023-09-14,410.609500776522
2023-09-15,408.1602835338931
2023-09-16,408.330474206461
2023-09-17,409.34631915951627
2023-09-18,405.95261773635366
2023-09-19,404.1558074004434
2023-09-20,405.3824693583405
2023-09-21,407.92463568282557
2023-09-22,407.41205392261406
2023-09-23,407.5104086472289
2023-09-24,409.02963390681185
2023-09-25,407.9627141521457
2023-09-26,407.92987705621215
2023-09-27,407.9437623644436
2023-09-28,403.9895988463191
2023-09-29,402.66207695766104
2023-09-30,401.2150350807815
2023-10-01,397.19865489633196
2023-10-02,400.3671469980289
2023-10-03,399.84482131875416
2023-10-04,399.95794758624794
2023-10-05,399.82874665382536
